filename,full_path,KKS,System_code,Line_number,System_code_short
TC021-INOV-1HDB83BQ010-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_27_37\Abu Dhabi\Att.2\TC021-INOV-1HDB83BQ010-SU_0.0_Sikla support drawing.pdf,1HDB83BQ010,HDB83,1,HDB
TC021-INOV-1HFA20BQ007-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_27_37\Abu Dhabi\Att.2\TC021-INOV-1HFA20BQ007-SU_0.0_Sikla support drawing.pdf,1HFA20BQ007,HFA20,1,HFA
TC021-INOV-2HFK12BQ015-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_26_24\Abu Dhabi\Att.2\TC021-INOV-2HFK12BQ015-SU_0.0_Sikla support drawing.pdf,2HFK12BQ015,HFK12,2,HFK
TC021-INOV-2HFX15BQ003-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_26_24\Abu Dhabi\Att.2\TC021-INOV-2HFX15BQ003-SU_0.0_Sikla support drawing.pdf,2HFX15BQ003,HFX15,2,HFX
TC021-INOV-2HGA05BQ026-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_26_24\Abu Dhabi\Att.2\TC021-INOV-2HGA05BQ026-SU_0.0_Sikla support drawing.pdf,2HGA05BQ026,HGA05,2,HGA
TC021-INOV-2HGC05BQ012-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_26_24\Abu Dhabi\Att.2\TC021-INOV-2HGC05BQ012-SU_0.0_Sikla support drawing.pdf,2HGC05BQ012,HGC05,2,HGC
TC021-INOV-2HGL05BQ024-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_26_24\Abu Dhabi\Att.2\TC021-INOV-2HGL05BQ024-SU_0.0_Sikla support drawing.pdf,2HGL05BQ024,HGL05,2,HGL
TC021-INOV-2HGX50BQ003-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_26_24\Abu Dhabi\Att.2\TC021-INOV-2HGX50BQ003-SU_0.0_Sikla support drawing.pdf,2HGX50BQ003,HGX50,2,HGX
TC021-INOV-2ETN40BQ002-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_26_32\Abu Dhabi\Att.2\TC021-INOV-2ETN40BQ002-SU_0.0_Sikla support drawing.pdf,2ETN40BQ002,ETN40,2,ETN
TC021-INOV-2ETX36BQ010-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_26_32\Abu Dhabi\Att.2\TC021-INOV-2ETX36BQ010-SU_0.0_Sikla support drawing.pdf,2ETX36BQ010,ETX36,2,ETX
TC021-INOV-1HBK10BQ005-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_27_37\Abu Dhabi\Att.2\TC021-INOV-1HBK10BQ005-SU_0.0_Sikla support drawing.pdf,1HBK10BQ005,HBK10,1,HBK
TC021-INOV-1HBX10BQ004-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_27_37\Abu Dhabi\Att.2\TC021-INOV-1HBX10BQ004-SU_0.0_Sikla support drawing.pdf,1HBX10BQ004,HBX10,1,HBX
TC021-INOV-1HCC05BQ022-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_27_37\Abu Dhabi\Att.2\TC021-INOV-1HCC05BQ022-SU_0.0_Sikla support drawing.pdf,1HCC05BQ022,HCC05,1,HCC
TC021-INOV-2HCW05BQ010-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_26_32\Abu Dhabi\Att.2\TC021-INOV-2HCW05BQ010-SU_0.0_Sikla support drawing.pdf,2HCW05BQ010,HCW05,2,HCW
TC021-INOV-2HCX30BQ009-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_26_32\Abu Dhabi\Att.2\TC021-INOV-2HCX30BQ009-SU_0.0_Sikla support drawing.pdf,2HCX30BQ009,HCX30,2,HCX
TC021-INOV-1UBA10BQ007-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_27_16\Abu Dhabi\Att.2\TC021-INOV-1UBA10BQ007-SU_0.0_Sikla support drawing.pdf,1UBA10BQ007,UBA10,1,UBA
TC021-INOV-0QUH05BQ002-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_27_43\Abu Dhabi\Att.2\TC021-INOV-0QUH05BQ002-SU_0.0_Sikla support drawing.pdf,0QUH05BQ002,QUH05,0,QUH
TC021-INOV-0UBN60BQ001-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_27_43\Abu Dhabi\Att.2\TC021-INOV-0UBN60BQ001-SU_0.0_Sikla support drawing.pdf,0UBN60BQ001,UBN60,0,UBN
