filename,status,num_rows,headers
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,SUCCESS,2,POS;ARTICLE;QTY DESCRIPTION;CUT;WEIGHT;TOTAL
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,SUCCESS,9,POS;ARTICLE;QTY DESCRIPTION;CUT;WEIGHT;TOTAL
