KKS,Medium,Medium_processed,Fluid Group,DN,PS [bar(g)],Category,Category Details
4 LBX55 BR910,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LBX55 BR930,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LBX55 BR940,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LBX55 BR950,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LBX60 BR900,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LBX60 BR910,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LBX60 BR920,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCQ30 BR110,Blow Down,Gases,2,100,0.5,See 5.3,"PS<=0.5 (PS=0.5, DN=100.0, PS*DN=50.0)"
4 LCQ31 BR110,Blow Down,Gases,2,100,0.5,See 5.3,"PS<=0.5 (PS=0.5, DN=100.0, PS*DN=50.0)"
4 LCQ31 BR120,Blow Down,Gases,2,100,1.2,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=1.2, DN=100.0, PS*DN=120.0)"
4 LCQ31 BR710,Blow Down,Gases,2,25,0.5,See 5.3,"PS<=0.5 (PS=0.5, DN=25.0, PS*DN=12.5)"
4 LCQ31 BR720,Blow Down,Gases,2,25,0.5,See 5.3,"PS<=0.5 (PS=0.5, DN=25.0, PS*DN=12.5)"
4 LCQ32 BR110,Blow Down,Gases,2,100,0.5,See 5.3,"PS<=0.5 (PS=0.5, DN=100.0, PS*DN=50.0)"
4 LCQ32 BR120,Blow Down,Gases,2,100,1.2,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=1.2, DN=100.0, PS*DN=120.0)"
4 LCQ32 BR710,Blow Down,Gases,2,25,0.5,See 5.3,"PS<=0.5 (PS=0.5, DN=25.0, PS*DN=12.5)"
4 LCQ32 BR720,Blow Down,Gases,2,25,0.5,See 5.3,"PS<=0.5 (PS=0.5, DN=25.0, PS*DN=12.5)"
4 LCQ35 BR110,Blow Down,Gases,2,100,1.2,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=1.2, DN=100.0, PS*DN=120.0)"
4 LCX45 BR910,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCX45 BR920,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCX50 BR900,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCX50 BR910,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCX50 BR920,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCX50 BR930,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCX55 BR900,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCX60 BR910,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCX70 BR900,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCX70 BR910,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCX70 BR920,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 LCX70 BR930,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 MAX50 BR910,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 MAX50 BR920,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 MAX50 BR930,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QEC20 BR100,Air,Gases,2,100,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=100.0, PS*DN=45.0)"
4 QEC20 BR110,Air,Gases,2,100,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=100.0, PS*DN=45.0)"
4 QEC21 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC22 BR100,Air,Gases,2,25,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=25.0, PS*DN=11.25)"
4 QEC23 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC24 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC25 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC26 BR100,Air,Gases,2,25,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=25.0, PS*DN=11.25)"
4 QEC27 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC28 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC29 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC30 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC31 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC32 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC33 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC34 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC35 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC36 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC37 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC38 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC40 BR100,Air,Gases,2,100,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=100.0, PS*DN=45.0)"
4 QEC40 BR110,Air,Gases,2,100,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=100.0, PS*DN=45.0)"
4 QEC41 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC42 BR100,Air,Gases,2,25,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=25.0, PS*DN=11.25)"
4 QEC43 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC44 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC45 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC46 BR100,Air,Gases,2,25,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=25.0, PS*DN=11.25)"
4 QEC47 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC48 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC49 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC50 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC51 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC52 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC53 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC54 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC55 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC56 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC57 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QEC58 BR100,Air,Gases,2,40,0.45,See 5.3,"PS<=0.5 (PS=0.45, DN=40.0, PS*DN=18.0)"
4 QFB20 BR100,Service Air,Gases,2,50,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=50.0, PS*DN=400.0)"
4 QFB20 BR200,Service Air,Gases,2,50,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=50.0, PS*DN=400.0)"
4 QFB20 BR300,Service Air,Gases,2,32,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=32.0, PS*DN=256.0)"
4 QFB40 BR100,Service Air,Gases,2,100,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=100.0, PS*DN=800.0)"
4 QFB91 BR910,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB91 BR922,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB91 BR928,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB91 BR937,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB91 BR943,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB91 BR951,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB91 BR956,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB91 BR962,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB91 BR968,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB91 BR980,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR910,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR920,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR921,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR922,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR932,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR936,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR942,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR946,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR954,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR956,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR958,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR961,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR963,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR966,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR968,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR971,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR973,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR976,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR978,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR983,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR985,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR987,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR990,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR994,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFB92 BR995,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFC20 BR100,Instrument Air,Gases,2,50,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=50.0, PS*DN=400.0)"
4 QFC20 BR110,Instrument Air,Gases,2,50,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=50.0, PS*DN=400.0)"
4 QFC20 BR210,Instrument Air,Gases,2,50,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=50.0, PS*DN=400.0)"
4 QFC20 BR220,Instrument Air,Gases,2,32,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=32.0, PS*DN=256.0)"
4 QFC21 BR100,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFC21 BR110,Instrument Air,Gases,2,25,7,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=7.0, DN=25.0, PS*DN=175.0)"
4 QFC22 BR100,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFC22 BR110,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFC23 BR100,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFC23 BR110,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFC24 BR100,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFC24 BR110,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFC25 BR100,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 QFC25 BR110,Instrument Air,Gases,2,25,7,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=7.0, DN=25.0, PS*DN=175.0)"
4 QFC40 BR100,Instrument Air,Gases,2,40,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=40.0, PS*DN=320.0)"
4 QFC40 BR110,Instrument Air,Gases,2,32,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=32.0, PS*DN=256.0)"
4 QFC40 BR120,Instrument Air,Gases,2,40,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=40.0, PS*DN=320.0)"
4 UBA10 BR700,Condensate,Gases,2,25,1.5,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=1.5, DN=25.0, PS*DN=37.5)"
4 UBA20 BR700,Condensate,Gases,2,25,1.5,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=1.5, DN=25.0, PS*DN=37.5)"
5 CYX51 BR910,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
5 CYX51 BR930,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
5 CYX51 BR950,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
5 CYX51 BR960,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
5 CYX51 BR990,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
5 CYX52 BR920,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
5 CYX60 BR910,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
5 CYX60 BR920,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
5 CYX60 BR940,Service Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
5 ETN10 BR100,Bottom Ash Water,Liquids,2,50,0.7,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=0.7, DN=50.0, PS*DN=35.0)"
5 ETN10 BR200,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
5 ETN10 BR210,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
5 ETN10 BR710,Bottom Ash Water,Liquids,2,40,0.7,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=0.7, DN=40.0, PS*DN=28.0)"
5 ETN20 BR100,Bottom Ash Water,Liquids,2,50,0.7,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=0.7, DN=50.0, PS*DN=35.0)"
5 ETN20 BR200,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
5 ETN20 BR210,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
5 ETN20 BR710,Bottom Ash Water,Liquids,2,40,0.7,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=0.7, DN=40.0, PS*DN=28.0)"
5 ETN30 BR100,Bottom Ash Water,Liquids,2,50,4,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=4.0, DN=50.0, PS*DN=200.0)"
5 ETN30 BR200,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
5 ETN30 BR210,Bottom Ash Water,Liquids,2,40,1.45,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.45, DN=40.0, PS*DN=58.0)"
5 ETN30 BR710,Bottom Ash Water,Liquids,2,40,4,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=4.0, DN=40.0, PS*DN=160.0)"
5 ETN40 BR100,Bottom Ash Water,Liquids,2,25,8,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=8.0, DN=25.0, PS*DN=200.0)"
5 ETN40 BR220,Bottom Ash Water,Liquids,2,25,8,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=8.0, DN=25.0, PS*DN=200.0)"
