KKS,Medium,Medium_processed,Fluid Group,DN,PS [bar(g)],Category,Category Details
4 HDA20 BR930,Process Water,Liquids,2,40,5.6,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=5.6, DN=40.0, PS*DN=224.0)"
4 HDA30 BR300,Process Water,Liquids,2,25,5.6,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=5.6, DN=25.0, PS*DN=140.0)"
4 HDA30 BR700,Waste Water,Liquids,2,150,1.5,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.5, DN=150.0, PS*DN=225.0)"
4 HDA30 BR710,Waste Water,Liquids,2,150,1.5,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=1.5, DN=150.0, PS*DN=225.0)"
4 HDA30 BR900,Process Water,Liquids,2,40,5.6,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=5.6, DN=40.0, PS*DN=224.0)"
4 HDA30 BR910,Process Water,Liquids,2,40,5.6,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=5.6, DN=40.0, PS*DN=224.0)"
4 HDA30 BR920,Process Water,Liquids,2,25,5.6,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=5.6, DN=25.0, PS*DN=140.0)"
4 HDA30 BR930,Process Water,Liquids,2,40,5.6,Category 0,"(0.5<PS<=10) OR (PS>0.5 AND DN<=200) OR (PS>0.5 AND PS*DN<=5000) (PS=5.6, DN=40.0, PS*DN=224.0)"
4 HDB01 BR200,Air,Gases,2,25,0.0609999999999999,See 5.3,"PS<=0.5 (PS=0.0609999999999999, DN=25.0, PS*DN=1.5249999999999975)"
4 HDB01 BR210,Air,Gases,2,25,0.0609999999999999,See 5.3,"PS<=0.5 (PS=0.0609999999999999, DN=25.0, PS*DN=1.5249999999999975)"
4 HDB02 BR200,Air,Gases,2,25,0.0609999999999999,See 5.3,"PS<=0.5 (PS=0.0609999999999999, DN=25.0, PS*DN=1.5249999999999975)"
4 HDB02 BR210,Air,Gases,2,25,0.0609999999999999,See 5.3,"PS<=0.5 (PS=0.0609999999999999, DN=25.0, PS*DN=1.5249999999999975)"
4 HDB03 BR200,Air,Gases,2,25,0.0609999999999999,See 5.3,"PS<=0.5 (PS=0.0609999999999999, DN=25.0, PS*DN=1.5249999999999975)"
4 HDB03 BR210,Air,Gases,2,25,0.0609999999999999,See 5.3,"PS<=0.5 (PS=0.0609999999999999, DN=25.0, PS*DN=1.5249999999999975)"
4 HDB04 BR200,Air,Gases,2,25,0.0609999999999999,See 5.3,"PS<=0.5 (PS=0.0609999999999999, DN=25.0, PS*DN=1.5249999999999975)"
4 HDB04 BR210,Air,Gases,2,25,0.0609999999999999,See 5.3,"PS<=0.5 (PS=0.0609999999999999, DN=25.0, PS*DN=1.5249999999999975)"
4 HDB05 BR200,Air,Gases,2,25,0.0609999999999999,See 5.3,"PS<=0.5 (PS=0.0609999999999999, DN=25.0, PS*DN=1.5249999999999975)"
4 HDB05 BR210,Air,Gases,2,25,0.0609999999999999,See 5.3,"PS<=0.5 (PS=0.0609999999999999, DN=25.0, PS*DN=1.5249999999999975)"
4 HDX51 BR900,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX51 BR905,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX51 BR910,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX51 BR920,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX51 BR930,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX51 BR940,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX51 BR950,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX51 BR970,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX52 BR900,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX52 BR905,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX52 BR910,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX52 BR920,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX52 BR930,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX52 BR940,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX52 BR950,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX52 BR970,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX53 BR900,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX53 BR905,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
4 HDX53 BR910,Instrument Air,Gases,2,25,8,Category 0,"(PS>0.5 AND DN<=32) OR (PS>0.5 AND PS*DN<=1000) (PS=8.0, DN=25.0, PS*DN=200.0)"
