Filename,Success,Header Found,BOM Data Found,Parsing Success,Error,Rows Extracted,Processing Time (s),File Size (MB),Total Pages,BOM Pages,Anchor Count,Retry Count,Memory Peak (MB),Error Code
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,True,True,True,True,None,56,4.77,0.09,1,[1],1,0,0.00,UNKNOWN
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,True,True,True,True,None,169,172.60,1.48,1,[1],1,0,0.00,UNKNOWN
