Filename,Page,POS,Description,Quantity,KKS_Codes,SU_Codes
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,Scale,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,AIC,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,Abu Dhabi WTE,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,Project Name,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,BS04 - Flue gas treatment,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,D. Cindric,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,31.07.2025,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,30.07.2025,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,B.Seketa,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,30.07.2025,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,N.Rozman,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,Y150,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,X285,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,5112,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1ETX50BQ002-SU_0.0_Sikla support drawing.pdf,1,5932,,1ETX50BQ002,1ETX50BQ002
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,NORTH,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,110238,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,"Assembly Group BG22X-F80, DN25",,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,0.32kg,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
