timestamp,pdf_path,page_num,status,details,processing_time_seconds,table_rows_extracted,table_columns_extracted
2025-08-27 09:15:08,C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,UNEXPECTED_ERROR,"Unexpected error processing page: sequence item 0: expected str instance, int found",7.986,0,0
2025-08-27 09:15:09,C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,UNEXPECTED_ERROR,"Unexpected error processing page: sequence item 0: expected str instance, int found",0.608,0,0
2025-08-27 09:15:19,C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,UNEXPECTED_ERROR,"Unexpected error processing page: sequence item 0: expected str instance, int found",10.032,0,0
