timestamp,pdf_path,page_num,status,details,processing_time_seconds,table_rows_extracted,table_columns_extracted
2025-08-27 09:17:11,C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,UNEXPECTED_ERROR,"Unexpected error processing page: sequence item 0: expected str instance, int found",8.145,0,0
2025-08-27 09:17:12,C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,UNEXPECTED_ERROR,"Unexpected error processing page: sequence item 0: expected str instance, int found",0.593,0,0
2025-08-27 09:17:21,C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,UNEXPECTED_ERROR,"Unexpected error processing page: sequence item 0: expected str instance, int found",9.911,0,0
