full_path,filename,page_number,0,1,2,3,4,5,6,KKS,KKS/SU
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,H,802788,2,Axialstop AS F100,,1.56kg,3.12kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,I,113088,1,Guided Bracket FW F100,,0.73kg,0.73kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,J,192512,108,Self Forming Screw FLS F,,0.03kg,3.24kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,K,110050,1,"Sliding Support LA-HV 150 109-115 (DN 100_4"")",,3.9kg,3.9kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,L,110058,1,"Sliding Support LA-HV 200 84-89 (DN 80_3"")",,3.9kg,3.9kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,M,110041,1,"Sliding Support LA-HV 90 109-115 (DN 100_4"")",,3.6kg,3.6kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,,,,,,SUBTOTAL,31.17kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,1,112904,2,Beam Section TP F 100 x 1660,1660mm,17.93kg,35.86kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,2,112904,2,Beam Section TP F 100 x 1900,1900mm,20.52kg,41.04kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,3,112904,1,Beam Section TP F 100 x 3200,3200mm,34.56kg,34.56kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,4,112904,2,Beam Section TP F 100 x 950,950mm,10.26kg,20.52kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,5,192539,1,Beam Section TP F 80 x 600,600mm,3.84kg,3.84kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,6,113069,2,Cantilever Bracket AK F 100-800 x 667,667mm,10.1kg,20.2kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,7,113095,4,Corner Bracket WD F 100 140/140,,1.9kg,7.6kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,8,113086,8,End Cap ADK F 100,,0.05kg,0.4kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,9,192674,1,End Cap ADK F 80,,0.03kg,0.03kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,10,113073,6,End Support STA F 100,,2.4kg,14.4kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,11,113337,1,End Support STA F 100-80,,2kg,2kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,12,113083,6,U-Holder SB F 100-40,,1.6kg,9.6kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,,,,,,SUBTOTAL,190.05kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-0QFB10BQ012-SU_0.0_Sikla_support_drawing.pdf,1,,,,,,TOTAL,221.22kg,"['0HGC05BQ007', '0QCA40BQ058', '0EGD60BQ062', '0QFB10BQ012', '0GHA20BQ029', '0QFC10BQ012', '0QCA40BQ041', '0QFB10BQ012', '0QFB10BQ012', '0GHA20BQ072', '0QFC10BQ081', '0HGC05BQ020', '0EGD20BQ063', '0EGD60BQ078', '0EGD20BQ041']",['0QFB10BQ012/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,A,110146,1,"Assembly Group BG11-MS41-M10, DN 25",,0.32kg,0.32kg,"['1ETX50BQ002', '1ETX50BQ002', '1ETX50BQ002']",['1ETX50BQ002/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,,,,,,SUBTOTAL,0.32kg,"['1ETX50BQ002', '1ETX50BQ002', '1ETX50BQ002']",['1ETX50BQ002/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,1,161497,1,"Beam Section MS 41/41/2,5 x 220 HCP",220mm,0.52kg,0.52kg,"['1ETX50BQ002', '1ETX50BQ002', '1ETX50BQ002']",['1ETX50BQ002/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,2,177689,2,End Cap ADK 41/41,,0.01kg,0.02kg,"['1ETX50BQ002', '1ETX50BQ002', '1ETX50BQ002']",['1ETX50BQ002/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,3,183620,2,U-Holder SB 41 - M10,,0.41kg,0.82kg,"['1ETX50BQ002', '1ETX50BQ002', '1ETX50BQ002']",['1ETX50BQ002/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,,,,,,SUBTOTAL,1.36kg,"['1ETX50BQ002', '1ETX50BQ002', '1ETX50BQ002']",['1ETX50BQ002/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,,,,,,TOTAL,1.68kg,"['1ETX50BQ002', '1ETX50BQ002', '1ETX50BQ002']",['1ETX50BQ002/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,A,110202,2,"Assembly Group BG14-F80-M10, DN 25",,0.4kg,0.8kg,"['1QFC20BQ021', '1HBX10BQ008', '1QFB93BQ001', '1QFB93BQ003', '1HFX15BQ004', '1HBX10BQ008', '1HBX10BQ008']",['1HBX10BQ008/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,B,110238,1,"Assembly Group BG22X-F80, DN25",,0.32kg,0.32kg,"['1QFC20BQ021', '1HBX10BQ008', '1QFB93BQ001', '1QFB93BQ003', '1HFX15BQ004', '1HBX10BQ008', '1HBX10BQ008']",['1HBX10BQ008/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,C,114658,1,Assembly Group BG52-DN25,,0.32kg,0.32kg,"['1QFC20BQ021', '1HBX10BQ008', '1QFB93BQ001', '1QFB93BQ003', '1HFX15BQ004', '1HBX10BQ008', '1HBX10BQ008']",['1HBX10BQ008/SU']
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,D,113107,1,Pipe Clamp Stabil Form C LK 49,,0.58kg,0.58kg,"['1QFC20BQ021', '1HBX10BQ008', '1QFB93BQ001', '1QFB93BQ003', '1HFX15BQ004', '1HBX10BQ008', '1HBX10BQ008']",['1HBX10BQ008/SU']
